,Country,Total Cases,New Cases,Total Deaths,Region,ref,date,New Deaths,Total Recovered,Serious_Critical,ActiveCases,Tot Cases/1M pop,Tot Deaths/1M pop,Deaths/1M pop,Reported1st case
229,Australia,15,,,Oceania,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,5,,,,,,
222,Japan,161,72,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,4,,,,,,
223,Singapore,45,5,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,7,7,,,,,
224,Hong Kong,42,16,1,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,,,,,,,
225,Thailand,32,,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,10,1,,,,,
226,S. Korea,27,3,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,3,,,,,,
227,Taiwan,18,1,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,1,,,,,,
228,Malaysia,18,2,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,3,,,,,,
221,China,40199,3,908,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,97,3623,6484,,,,,
238,Philippines,3,,1,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,2,,,,,,
232,USA,12,,,N.America,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,3,,,,,,
248,Belgium,1,,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,,,,,,,
247,Cambodia,1,,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,1,,,,,,
246,Sri Lanka,1,,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,1,,,,,,
245,Sweden,1,,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,,,,,,,
244,Nepal,1,,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,,,,,,,
243,Finland,1,,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,1,,,,,,
242,Spain,2,1,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,,,,,,,
241,Russia,2,,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,,,,,,,
240,Italy,3,,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,,2,,,,,
239,India,3,,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,10/02/2020,,,,,,,,
