,S,E,I,R,country,date
0,25499884,0.0,0.0,5.0,australia,2020-02-10
1,25499884,0.0,0.0,5.0,australia,2020-02-11
2,25499884,0.0,0.0,5.0,australia,2020-02-12
3,25499884,0.0,0.0,8.0,australia,2020-02-13
4,25499884,0.0,0.0,10.0,australia,2020-02-14
5,25499884,0.0,0.0,10.0,australia,2020-02-15
6,25499884,0.0,0.0,10.0,australia,2020-02-16
7,25499884,0.0,0.0,10.0,australia,2020-02-17
8,25499884,0.0,0.0,10.0,australia,2020-02-18
9,25499884,0.0,0.0,10.0,australia,2020-02-19
10,25499884,0.0,0.0,11.0,australia,2020-02-20
11,25499884,0.0,0.0,11.0,australia,2020-02-21
12,25499884,0.0,0.0,11.0,australia,2020-02-22
13,25499884,0.0,0.0,11.0,australia,2020-02-23
14,25499884,0.0,0.0,11.0,australia,2020-02-24
15,25499884,0.0,0.0,15.0,australia,2020-02-25
16,25499884,0.0,0.0,15.0,australia,2020-02-26
17,25499884,0.0,0.0,15.0,australia,2020-02-27
18,25499884,0.0,10.0,15.0,australia,2020-02-28
19,25499884,0.0,10.0,15.0,australia,2020-02-29
20,25499884,0.0,13.0,16.0,australia,2020-03-01
21,25499884,0.0,17.0,16.0,australia,2020-03-02
22,25499884,10.0,23.0,16.0,australia,2020-03-03
23,25499884,10.0,27.0,23.0,australia,2020-03-04
24,25499884,13.0,36.0,24.0,australia,2020-03-05
25,25499884,17.0,39.0,24.0,australia,2020-03-06
26,25499884,23.0,50.0,25.0,australia,2020-03-07
27,25499884,27.0,55.0,25.0,australia,2020-03-08
28,25499884,36.0,68.0,25.0,australia,2020-03-09
29,25499884,39.0,91.0,25.0,australia,2020-03-10
30,25499884,50.0,100.0,27.0,australia,2020-03-11
31,25499884,55.0,127.0,29.0,australia,2020-03-12
32,25499884,68.0,170.0,29.0,australia,2020-03-13
33,25499884,91.0,218.0,30.0,australia,2020-03-14
34,25499884,100.0,268.0,32.0,australia,2020-03-15
35,25499884,127.0,369.0,32.0,australia,2020-03-16
36,25499884,170.0,420.0,32.0,australia,2020-03-17
37,25499884,218.0,547.0,49.0,australia,2020-03-19
38,25499884,268.0,703.0,53.0,australia,2020-03-20
39,25499884,369.0,875.0,53.0,australia,2020-03-21
