Date,New Patients Amount,New Patients Growth rate,היו בחו״ל,לא היו בחו״ל,טרם פורסמה חקירה,Total Patients,Current Serious Condition Patients,Total Serious Condition Patients,New Dead Patients Amount,Total Dead Patients,Total Serious + Dead Patients,Lab Test Amount,New Patients Per Test (Percent),,,,,,,,,3 Days Sliding Window:,New Patients (AVG) - Sliding Window,New Patients (S.W.) Growth rate,New Patients from Oversees (SUM) - Sliding Window,New Patients - Local (SUM) - Sliding Window,Local / from Overseas (3 Days Sliding Window) Ratio,Lab Test AVG (3 Days Sliding Window),New Patients / Test Ratio (3 Days Sliding Window)
15/02/2020,2,,2,0,0,2,,,,,0,,,,,,,,,,,15/02/2020,,,,,,,
16/02/2020,0,0.00%,0,0,0,2,,,,,0,28,,,,,,,,,,16/02/2020,,,,,,,
17/02/2020,0,0.00%,0,0,0,2,,,,,0,43,,,,,,,,,,17/02/2020,0.7,33.30%,2,0,0,35.5,1.88%
18/02/2020,0,0.00%,0,0,0,2,,,,,0,45,,,,,,,,,,18/02/2020,0,0.00%,0,0,,38.66666667,0.00%
19/02/2020,0,0.00%,0,0,0,2,,,,,0,36,,,,,,,,,,19/02/2020,0,0.00%,0,0,,41.33333333,0.00%
20/02/2020,0,0.00%,0,0,0,2,,,,,0,28,,,,,,,,,,20/02/2020,0,0.00%,0,0,,36.33333333,0.00%
21/02/2020,0,0.00%,0,0,0,2,,,,,0,15,,,,,,,,,,21/02/2020,0,0.00%,0,0,,26.33333333,0.00%
22/02/2020,0,0.00%,0,0,0,2,,,,,0,13,,,,,,,,,,22/02/2020,0,0.00%,0,0,,18.66666667,0.00%
23/02/2020,0,0.00%,0,0,0,2,,,,,0,75,,,,,,,,,,23/02/2020,0,0.00%,0,0,,34.33333333,0.00%
24/02/2020,0,0.00%,0,0,0,2,,,,,0,58,,,,,,,,,,24/02/2020,0,0.00%,0,0,,48.66666667,0.00%
25/02/2020,0,0.00%,0,0,0,2,,,,,0,104,,,,,,,,,,25/02/2020,0,0.00%,0,0,,79,0.00%
26/02/2020,0,0.00%,0,0,0,2,,,,,0,123,,,,,,,,,,26/02/2020,0,0.00%,0,0,,95,0.00%
27/02/2020,1,50.00%,1,0,0,3,,,0,0,0,134,0.75%,,,,,,,,,27/02/2020,0.3,16.70%,1,0,0,120.3333333,0.30%
28/02/2020,4,133.30%,3,1,0,7,,,0,0,0,115,3.48%,,,,,,,,,28/02/2020,1.7,55.60%,4,1,0.25,124,1.30%
29/02/2020,0,0.00%,0,0,0,7,,,0,0,0,158,0.00%,,,,,,,,,29/02/2020,1.7,23.80%,4,1,0.25,135.6666667,1.20%
1/3/2020,3,42.90%,2,1,0,10,,,0,0,0,160,1.88%,,,,,,,,,1/3/2020,2.3,33.30%,5,2,0.4,144.3333333,1.60%
2/3/2020,2,20.00%,2,0,0,12,,,0,0,0,173,1.16%,,,,,,,,,2/3/2020,1.7,16.70%,4,1,0.25,163.6666667,1.00%
3/3/2020,0,0.00%,0,0,0,12,,,0,0,0,223,0.00%,,,,,,,,,3/3/2020,1.7,13.90%,4,1,0.25,185.3333333,0.90%
