תאריך,סך בדיקות לגילוי קורונה,מספר מאומתים,מספר חולים מאושפזים,מספר חולים במצב קשה,מספר מונשמים,מספר נפטרים,בדיקות ביממה האחרונה,בדיקות חיוביות ראשונות,מספר מאומתים שהתווספו היום,מספר חולים במצב קל,מספר חולים במצב בינוני,מספר מחלימים,מספר חולים בבית
2020-01-26,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-01-27,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-01-28,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-01-29,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-01-30,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-01-31,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-01,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-02,18.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-03,25.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-04,31.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-05,31.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-06,31.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-07,31.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-08,31.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-09,71.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-10,98.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-11,148.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-12,183.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-13,218.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-14,248.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-15,251.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-16,274.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-17,315.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-18,361.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2020-02-19,395.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
