name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
הדסה עין כרם,134.0,116.5991897583008,118,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
שמיר (אסף הרופא),100.0,65.9932632446289,73,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
שיבא,96.0,96.64556884765625,105,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
שערי צדק,84.0,95.577392578125,81,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
סוראסקי,76.0,106.4901809692383,89,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
הלל יפה,60.0,82.71844482421875,71,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מאיר,56.00000000000001,80.84832763671875,74,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
סורוקה,52.0,72.19808959960938,77,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קפלן,52.0,95.84837341308594,51,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ברזילי,40.0,75.33333587646484,28,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
"רמב""ם",40.0,92.16494750976562,21,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
המרכזי בעמק,38.0,71.55172729492188,48,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
"אסותא אשדוד בי""ח",38.0,,40,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
וולפסון,38.0,67.2035140991211,24,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
רבין ק. בילינסון,38.0,94.73053741455078,66,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
מעייני הישועה,36.0,83.38658142089844,39,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
לניאדו,28.000000000000004,1.949860692024231,24,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
נהריה,26.0,88.38174438476562,107,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
בני ציון,2.0,75.5196304321289,24,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
