section,male,female,lastUpdate,date
0,1717,1609,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
10,4209,3296,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
20,4779,4138,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
30,3230,2580,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
40,2696,2442,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
50,2130,1970,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
60,1528,1252,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
70,812,670,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
80,350,437,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
90,105,245,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
