_id,date,isolated_today_contact_with_confirmed,isolated_today_abroad,new_contact_with_confirmed,new_from_abroad
1,2020-07-22,38275,8426,5929,753
2,2020-07-21,38633,8310,5390,669
3,2020-07-20,39052,8250,5508,731
4,2020-07-19,39080,8189,6919,736
5,2020-07-18,38175,8116,3161,294
6,2020-07-17,38575,8334,3918,481
7,2020-07-16,39639,8740,5823,804
8,2020-07-15,42938,8392,5588,677
9,2020-07-14,37667,8022,6115,783
10,2020-07-13,39507,7886,5994,592
11,2020-07-12,42690,7745,7980,599
12,2020-07-11,42432,7809,3992,345
13,2020-07-10,44787,8067,5865,598
14,2020-07-09,42128,7851,7431,674
15,2020-07-08,39259,7922,7180,595
16,2020-07-07,38317,7975,6901,613
17,2020-07-06,36232,7702,6587,717
18,2020-07-05,33745,7328,8867,664
19,2020-07-04,28134,7271,4839,528
20,2020-07-03,25849,7193,5137,901
21,2020-07-02,22175,6603,4167,696
22,2020-07-01,20964,6643,4164,643
23,2020-06-30,20733,6588,4753,525
24,2020-06-29,18816,6513,3391,662
25,2020-06-28,17762,6446,3657,531
26,2020-06-27,16415,6693,1694,337
27,2020-06-26,16912,6976,2572,792
28,2020-06-25,15365,6661,3023,668
29,2020-06-24,13698,6956,3004,298
30,2020-06-23,12855,7430,2646,325
31,2020-06-22,11624,7551,2254,663
32,2020-06-21,10834,7651,2281,391
33,2020-06-20,10104,7701,1341,261
34,2020-06-19,10001,8090,1744,826
35,2020-06-18,8947,7765,1605,521
36,2020-06-17,8100,7630,1378,462
37,2020-06-16,8767,8227,1426,594
38,2020-06-15,8450,8116,1213,887
39,2020-06-14,8720,7836,1699,629
40,2020-06-13,8671,7553,980,436
41,2020-06-12,8983,7596,1039,1052
42,2020-06-11,8292,6769,1416,824
43,2020-06-10,7317,6169,678,285
44,2020-06-09,7461,6240,1316,759
45,2020-06-08,8787,5898,1141,754
46,2020-06-07,8897,5496,1319,566
47,2020-06-06,8501,5211,485,418
48,2020-06-05,8548,5330,1218,727
49,2020-06-04,7572,4769,1852,884
50,2020-06-03,6078,4274,1104,547
51,2020-06-02,5403,4362,1320,370
52,2020-06-01,4375,4306,1187,416
53,2020-05-31,3420,4379,1453,416
54,2020-05-30,2127,4205,562,192
55,2020-05-29,1635,4388,509,155
56,2020-05-28,1189,4401,406,504
57,2020-05-27,929,4151,235,303
58,2020-05-26,867,4256,239,297
59,2020-05-25,815,4250,64,456
60,2020-05-24,902,4100,81,409
61,2020-05-23,960,4029,15>,229
62,2020-05-22,1204,4126,53,509
63,2020-05-21,1220,3663,160,511
64,2020-05-20,1159,3269,209,350
65,2020-05-19,1204,3039,157,413
66,2020-05-18,1229,2724,307,259
67,2020-05-17,1116,2583,203,382
68,2020-05-16,1054,2316,136,146
69,2020-05-15,1075,2361,165,319
70,2020-05-14,1049,2085,124,1231
71,2020-05-13,1092,1031,232,317
72,2020-05-12,1152,822,142,248
73,2020-05-11,1220,629,154,204
74,2020-05-10,1310,485,201,61
75,2020-05-09,1459,492,84,24
76,2020-05-08,1665,559,148,46
77,2020-05-07,1693,534,313,49
78,2020-05-06,1672,564,70,61
79,2020-05-05,2161,597,238,57
80,2020-05-04,2371,605,318,56
81,2020-05-03,2410,614,357,63
82,2020-05-02,2470,656,248,15>
83,2020-05-01,2694,711,243,49
84,2020-04-30,2739,744,376,46
85,2020-04-29,2895,757,195,15
86,2020-04-28,3237,771,265,78
87,2020-04-27,3350,720,402,95
88,2020-04-26,3503,651,465,42
89,2020-04-25,3724,666,387,26
90,2020-04-24,3996,671,613,85
91,2020-04-23,3730,635,398,92
92,2020-04-22,3933,607,457,73
93,2020-04-21,3794,550,453,111
94,2020-04-20,3895,512,616,49
95,2020-04-19,4239,796,696,43
96,2020-04-18,4295,978,404,70
97,2020-04-17,4664,1114,562,59
98,2020-04-16,4422,1163,903,37
99,2020-04-15,3927,1282,527,31
100,2020-04-14,4155,1712,529,48
101,2020-04-13,4419,1812,650,40
102,2020-04-12,4665,1922,940,53
103,2020-04-11,4745,2192,404,60
104,2020-04-10,5587,2863,1153,29
105,2020-04-09,4925,3130,24,75
106,2020-04-08,5713,4165,481,161
107,2020-04-07,6921,6514,601,222
108,2020-04-06,8253,8025,963,461
109,2020-04-05,9088,9065,1530,118
110,2020-04-04,9148,11275,760,130
111,2020-04-03,9885,13572,1143,428
112,2020-04-02,9597,15734,1248,260
113,2020-04-01,9487,17351,2324,159
114,2020-03-31,9025,21566,1983,459
115,2020-03-30,8596,24564,1597,347
116,2020-03-29,8912,27677,1511,941
117,2020-03-28,9246,30536,721,581
118,2020-03-27,10691,34451,1453,2033
119,2020-03-26,11611,35448,1890,2782
120,2020-03-25,11930,35066,2362,2104
121,2020-03-24,15686,37276,2620,2561
122,2020-03-23,16898,39209,2317,2661
123,2020-03-22,23159,40463,3319,3528
124,2020-03-21,24867,40185,2596,1690
125,2020-03-20,27612,41112,4463,5086
