date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,lastUpdate
2020-03-02T00:00:00.000Z,1,11,11,0,0,11,0,0,1550,0.007096774193548388,5632,-13,0,2020-07-30T03:34:45.407Z
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,1550,0.006451612903225806,7857,-10,0,2020-07-30T03:34:45.407Z
2020-03-04T00:00:00.000Z,0,11,11,0,0,11,0,0,1550,0.007096774193548388,7012,-12,0,2020-07-30T03:34:45.407Z
2020-03-05T00:00:00.000Z,1,13,13,1,0,12,0,0,1550,0.008387096774193548,7012,-12,0,2020-07-30T03:34:45.407Z
2020-03-06T00:00:00.000Z,1,16,16,2,0,14,1,0,1550,0.01032258064516129,5177,-12,0,2020-07-30T03:34:45.407Z
2020-03-07T00:00:00.000Z,1,20,20,3,0,17,2,0,1550,0.01290322580645161,4861,-14,0,2020-07-30T03:34:45.407Z
2020-03-08T00:00:00.000Z,2,26,26,5,0,21,4,0,1550,0.0167741935483871,7330,-12,0,2020-07-30T03:34:45.407Z
2020-03-09T00:00:00.000Z,7,39,39,6,0,33,5,0,1550,0.02516129032258065,6205,-23,0,2020-07-30T03:34:45.407Z
2020-03-10T00:00:00.000Z,2,59,59,6,0,53,5,0,1550,0.03806451612903226,6021,-10,0,2020-07-30T03:34:45.407Z
2020-03-11T00:00:00.000Z,10,81,81,7,1,73,6,0,1550,0.05225806451612904,5981,-12,0,2020-07-30T03:34:45.407Z
2020-03-12T00:00:00.000Z,6,103,101,7,1,95,6,0,1550,0.0664516129032258,5983,-11,0,2020-07-30T03:34:45.407Z
2020-03-13T00:00:00.000Z,10,123,122,7,4,112,6,0,1550,0.07935483870967742,4121,3,0,2020-07-30T03:34:45.407Z
2020-03-14T00:00:00.000Z,20,162,161,6,4,152,4,0,1550,0.1045161290322581,3692,-7,0,2020-07-30T03:34:45.407Z
2020-03-15T00:00:00.000Z,37,202,200,9,6,187,6,0,1550,0.1303225806451613,5491,-9,0,2020-07-30T03:34:45.407Z
2020-03-16T00:00:00.000Z,27,221,215,11,5,205,7,0,1550,0.1425806451612903,4759,47,0,2020-07-30T03:34:45.407Z
2020-03-17T00:00:00.000Z,46,256,256,12,6,238,7,0,1550,0.1651612903225807,4338,94,0,2020-07-30T03:34:45.407Z
2020-03-18T00:00:00.000Z,54,306,269,16,11,279,7,0,1550,0.1974193548387097,3920,194,0,2020-07-30T03:34:45.407Z
2020-03-19T00:00:00.000Z,31,295,264,21,11,263,12,0,1550,0.1903225806451613,4053,323,0,2020-07-30T03:34:45.407Z
2020-03-20T00:00:00.000Z,30,289,251,23,14,252,12,1,1550,0.1864516129032258,3207,499,0,2020-07-30T03:34:45.407Z
2020-03-21T00:00:00.000Z,34,277,273,27,21,229,15,0,1550,0.1787096774193548,2905,683,0,2020-07-30T03:34:45.407Z
2020-03-22T00:00:00.000Z,54,324,305,37,32,255,22,0,1550,0.2090322580645161,4523,897,0,2020-07-30T03:34:45.407Z
2020-03-23T00:00:00.000Z,58,352,323,42,36,274,24,0,1550,0.2270967741935484,4053,1215,0,2020-07-30T03:34:45.407Z
2020-03-24T00:00:00.000Z,82,395,343,45,48,302,26,3,1550,0.2548387096774193,3963,1604,0,2020-07-30T03:34:45.407Z
2020-03-25T00:00:00.000Z,81,413,397,49,53,311,28,1,1550,0.2664516129032258,3666,1958,0,2020-07-30T03:34:45.407Z
2020-03-26T00:00:00.000Z,83,464,413,54,65,345,31,5,1550,0.2993548387096774,3925,2438,0,2020-07-30T03:34:45.407Z
2020-03-27T00:00:00.000Z,110,515,469,65,69,381,37,2,1550,0.3322580645161291,3267,2801,0,2020-07-30T03:34:45.407Z
2020-03-28T00:00:00.000Z,53,513,485,69,81,363,41,1,1550,0.3309677419354839,2834,3235,0,2020-07-30T03:34:45.407Z
2020-03-29T00:00:00.000Z,70,543,515,78,88,377,50,3,1550,0.3503225806451613,4289,3690,0,2020-07-30T03:34:45.407Z
2020-03-30T00:00:00.000Z,122,619,570,87,106,426,54,1,1550,0.3993548387096774,3886,4146,0,2020-07-30T03:34:45.407Z
2020-03-31T00:00:00.000Z,111,668,627,97,116,455,64,4,1550,0.4309677419354839,4005,4752,0,2020-07-30T03:34:45.407Z
2020-04-01T00:00:00.000Z,147,769,728,111,143,515,72,8,1550,0.4961290322580645,4088,4589,689,2020-07-30T03:34:45.407Z
2020-04-02T00:00:00.000Z,115,813,727,113,145,555,79,10,1550,0.5245161290322581,4284,5169,720,2020-07-30T03:34:45.407Z
2020-04-03T00:00:00.000Z,97,804,719,130,159,515,93,5,1550,0.5187096774193548,3494,5670,717,2020-07-30T03:34:45.407Z
2020-04-04T00:00:00.000Z,73,791,752,139,171,481,107,7,1550,0.5103225806451613,3155,5992,718,2020-07-30T03:34:45.407Z
2020-04-05T00:00:00.000Z,100,827,743,135,194,498,106,6,1550,0.5335483870967742,4495,6491,693,2020-07-30T03:34:45.407Z
2020-04-06T00:00:00.000Z,93,814,702,147,209,458,110,7,1550,0.5251612903225806,4088,6767,796,2020-07-30T03:34:45.407Z
2020-04-07T00:00:00.000Z,72,748,656,159,201,388,106,7,1550,0.4825806451612903,4313,7027,819,2020-07-30T03:34:45.407Z
2020-04-08T00:00:00.000Z,57,694,621,166,193,335,115,9,1550,0.447741935483871,3511,7197,859,2020-07-30T03:34:45.407Z
2020-04-09T00:00:00.000Z,65,665,634,166,187,312,117,9,1550,0.4290322580645161,3363,7318,944,2020-07-30T03:34:45.407Z
2020-04-10T00:00:00.000Z,56,670,598,170,170,330,128,8,1550,0.432258064516129,4086,7442,1002,2020-07-30T03:34:45.407Z
2020-04-11T00:00:00.000Z,39,627,595,182,162,283,130,6,1550,0.4045161290322581,3172,7551,1061,2020-07-30T03:34:45.407Z
2020-04-12T00:00:00.000Z,90,667,620,177,174,316,130,7,1550,0.4303225806451613,4965,7713,1074,2020-07-30T03:34:45.407Z
2020-04-13T00:00:00.000Z,91,691,629,192,169,330,137,8,1550,0.4458064516129032,4653,7706,1181,2020-07-30T03:34:45.407Z
2020-04-14T00:00:00.000Z,75,676,631,178,170,328,134,8,1550,0.4361290322580645,4376,7660,1229,2020-07-30T03:34:45.407Z
2020-04-15T00:00:00.000Z,69,673,655,180,174,319,133,13,1550,0.4341935483870968,3492,7615,1238,2020-07-30T03:34:45.407Z
2020-04-16T00:00:00.000Z,51,703,643,182,163,358,136,7,1550,0.4535483870967742,5387,7422,1366,2020-07-30T03:34:45.407Z
2020-04-17T00:00:00.000Z,48,665,616,166,163,336,125,9,1550,0.4290322580645161,4188,7380,1348,2020-07-30T03:34:45.407Z
2020-04-18T00:00:00.000Z,42,644,619,174,141,329,118,11,1550,0.4154838709677419,3825,6965,1661,2020-07-30T03:34:45.407Z
2020-04-19T00:00:00.000Z,40,621,571,157,147,317,118,8,1550,0.4006451612903226,5788,6927,1707,2020-07-30T03:34:45.407Z
2020-04-20T00:00:00.000Z,49,612,560,155,135,322,123,6,1550,0.3948387096774194,5097,6671,1723,2020-07-30T03:34:45.407Z
2020-04-21T00:00:00.000Z,27,546,509,145,147,254,119,9,1550,0.352258064516129,4921,6529,1738,2020-07-30T03:34:45.407Z
2020-04-22T00:00:00.000Z,36,533,498,149,124,260,110,3,1550,0.3438709677419355,4822,6397,1739,2020-07-30T03:34:45.407Z
2020-04-23T00:00:00.000Z,32,502,454,146,107,249,114,4,1550,0.3238709677419355,5353,6456,1605,2020-07-30T03:34:45.407Z
