יישוב,pop2018,סוג מידע,value,date,StringencyIndex,last_updated
בני ברק,195298.0,מספר נבדקים,11503.0,2020-04-21,1.0,2020-05-31
דייר אל-אסד,12435.0,מספר נבדקים,2691.0,2020-04-21,1.0,2020-05-31
אלעד,46760.0,מספר נבדקים,2283.0,2020-04-21,1.0,2020-05-31
כוכב יעקב,8602.0,מספר נבדקים,334.0,2020-04-21,1.0,2020-05-31
קרית יערים,5713.0,מספר נבדקים,433.0,2020-04-21,1.0,2020-05-31
"כפר חב""ד",6724.0,מספר נבדקים,247.0,2020-04-21,1.0,2020-05-31
אפרת,10676.0,מספר נבדקים,681.0,2020-04-21,1.0,2020-05-31
מצפה רמון,4991.0,מספר נבדקים,197.0,2020-04-21,1.0,2020-05-31
ביתר עילית,59240.0,מספר נבדקים,1526.0,2020-04-21,1.0,2020-05-31
מודיעין עילית,73808.0,מספר נבדקים,1767.0,2020-04-21,1.0,2020-05-31
מגדל העמק,26058.0,מספר נבדקים,1026.0,2020-04-21,1.0,2020-05-31
אור יהודה,34843.0,מספר נבדקים,1667.0,2020-04-21,1.0,2020-05-31
טבריה,44353.0,מספר נבדקים,1900.0,2020-04-21,1.0,2020-05-31
רכסים,11841.0,מספר נבדקים,274.0,2020-04-21,1.0,2020-05-31
ירושלים,914559.0,מספר נבדקים,26943.0,2020-04-21,1.0,2020-05-31
דבוריה,10414.0,מספר נבדקים,784.0,2020-04-21,1.0,2020-05-31
בית שמש,120812.0,מספר נבדקים,2691.0,2020-04-21,1.0,2020-05-31
ג'סר א-זרקא,14732.0,מספר נבדקים,1296.0,2020-04-21,1.0,2020-05-31
אזור,11819.0,מספר נבדקים,411.0,2020-04-21,1.0,2020-05-31
קרית מלאכי,23691.0,מספר נבדקים,539.0,2020-04-21,1.0,2020-05-31
יהוד,29104.0,מספר נבדקים,1072.0,2020-04-21,1.0,2020-05-31
פקיעין (בוקייעה),5851.0,מספר נבדקים,518.0,2020-04-21,1.0,2020-05-31
בית אריה,4981.0,מספר נבדקים,154.0,2020-04-21,1.0,2020-05-31
קצרין,7373.0,מספר נבדקים,163.0,2020-04-21,1.0,2020-05-31
בענה,8355.0,מספר נבדקים,874.0,2020-04-21,1.0,2020-05-31
בית אל,5767.0,מספר נבדקים,132.0,2020-04-21,1.0,2020-05-31
