,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,activecases,serious_critical,tot_cases/1m_pop,deaths/1m_pop,reported1st_case,ref,date,totaltests,tests/_1m_pop,region,tot_deaths/1m_pop,population,S,E,I,R,CountryCode,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,Unnamed: 34
0,italy,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10,0.0,0.0,Europe,0.0,60461826,60461826,0.0,0.0,0.0,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
1,italy,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11,0.0,0.0,Europe,0.0,60461826,60461826,0.0,0.0,0.0,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
2,italy,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12,0.0,0.0,Europe,0.0,60461826,60461826,0.0,0.0,0.0,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
3,italy,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200213/https://www.worldometers.info/coronavirus/,2020-02-13,0.0,0.0,Europe,0.0,60461826,60461826,0.0,0.0,0.0,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
4,italy,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14,0.0,0.0,Europe,0.0,60461826,60461826,0.0,0.0,0.0,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
5,italy,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15,0.0,0.0,Europe,0.0,60461826,60461826,0.0,0.0,0.0,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
6,italy,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16,0.0,0.0,Europe,0.0,60461826,60461826,0.0,0.0,0.0,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
7,italy,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200217/https://www.worldometers.info/coronavirus/,2020-02-17,0.0,0.0,Europe,0.0,60461826,60461826,0.0,0.0,0.0,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
8,italy,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18,0.0,0.0,Europe,0.0,60461826,60461826,0.0,0.0,0.0,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
9,italy,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19,0.0,0.0,Europe,0.0,60461826,60461826,0.0,0.0,0.0,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
10,italy,3.0,0,0.0,0,0.0,0.0,2.0,0.0,0.0,0,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20,0.0,0.0,Europe,0.0,60461826,60461826,0.0,0.0,0.0,ITA,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,3.0,,,,,,,,,,3.0,0.0,14.0,	
