,S,E,I,R,country,date
0,60461826,0.0,0.0,0.0,italy,2020-02-10
1,60461826,0.0,0.0,0.0,italy,2020-02-11
2,60461826,0.0,0.0,0.0,italy,2020-02-12
3,60461826,0.0,0.0,0.0,italy,2020-02-13
4,60461826,0.0,0.0,0.0,italy,2020-02-14
5,60461826,0.0,0.0,0.0,italy,2020-02-15
6,60461826,0.0,0.0,0.0,italy,2020-02-16
7,60461826,0.0,0.0,0.0,italy,2020-02-17
8,60461826,0.0,0.0,0.0,italy,2020-02-18
9,60461826,0.0,0.0,0.0,italy,2020-02-19
10,60461826,0.0,0.0,0.0,italy,2020-02-20
11,60461826,0.0,0.0,2.0,italy,2020-02-21
12,60461826,0.0,0.0,4.0,italy,2020-02-22
13,60461826,0.0,0.0,5.0,italy,2020-02-23
14,60461826,0.0,0.0,8.0,italy,2020-02-24
15,60461826,0.0,0.0,13.0,italy,2020-02-25
16,60461826,0.0,0.0,15.0,italy,2020-02-26
17,60461826,0.0,0.0,62.0,italy,2020-02-27
18,60461826,0.0,822.0,67.0,italy,2020-02-28
19,60461826,0.0,1049.0,79.0,italy,2020-02-29
20,60461826,0.0,1570.0,124.0,italy,2020-03-01
21,60461826,0.0,1835.0,201.0,italy,2020-03-02
22,60461826,822.0,2263.0,239.0,italy,2020-03-03
23,60461826,1049.0,2706.0,383.0,italy,2020-03-04
24,60461826,1570.0,3296.0,562.0,italy,2020-03-05
25,60461826,1835.0,3916.0,720.0,italy,2020-03-06
26,60461826,2263.0,5061.0,822.0,italy,2020-03-07
27,60461826,2706.0,6387.0,988.0,italy,2020-03-08
28,60461826,3296.0,7985.0,1187.0,italy,2020-03-09
29,60461826,3916.0,8514.0,1635.0,italy,2020-03-10
30,60461826,5061.0,10590.0,1872.0,italy,2020-03-11
31,60461826,6387.0,12839.0,2274.0,italy,2020-03-12
32,60461826,7985.0,14955.0,2705.0,italy,2020-03-13
33,60461826,8514.0,17750.0,3407.0,italy,2020-03-14
34,60461826,10590.0,20603.0,4144.0,italy,2020-03-15
35,60461826,12839.0,23073.0,4907.0,italy,2020-03-16
36,60461826,14955.0,26062.0,5444.0,italy,2020-03-17
37,60461826,17750.0,28710.0,7003.0,italy,2020-03-19
38,60461826,20603.0,33190.0,7845.0,italy,2020-03-20
39,60461826,23073.0,37860.0,9161.0,italy,2020-03-21
40,60461826,26062.0,42681.0,10897.0,italy,2020-03-22
41,60461826,28710.0,46638.0,12500.0,italy,2020-03-23
42,60461826,33190.0,50418.0,13509.0,italy,2020-03-24
43,60461826,37860.0,54030.0,15146.0,italy,2020-03-25
44,60461826,42681.0,57521.0,16865.0,italy,2020-03-26
45,60461826,46638.0,62013.0,18576.0,italy,2020-03-27
46,60461826,50418.0,66414.0,20084.0,italy,2020-03-28
47,60461826,54030.0,70065.0,22407.0,italy,2020-03-29
48,60461826,57521.0,73880.0,23809.0,italy,2020-03-30
49,60461826,62013.0,75528.0,26211.0,italy,2020-03-31
50,1439323776,0.0,0.0,4531.0,china,2020-02-10
51,1439323776,0.0,0.0,5334.0,china,2020-02-11
52,1439323776,0.0,0.0,5890.0,china,2020-02-12
53,1439323776,0.0,0.0,7577.0,china,2020-02-13
54,1439323776,0.0,0.0,9497.0,china,2020-02-14
55,1439323776,0.0,0.0,11117.0,china,2020-02-15
56,1439323776,0.0,0.0,12493.0,china,2020-02-16
57,1439323776,0.0,0.0,14420.0,china,2020-02-17
58,1439323776,0.0,0.0,16456.0,china,2020-02-18
59,1439323776,0.0,0.0,18351.0,china,2020-02-19
60,1439323776,0.0,0.0,20243.0,china,2020-02-20
61,1439323776,0.0,0.0,20929.0,china,2020-02-21
62,1439323776,0.0,0.0,25132.0,china,2020-02-22
63,1439323776,0.0,0.0,25618.0,china,2020-02-23
64,1439323776,0.0,0.0,27659.0,china,2020-02-24
65,1439323776,0.0,0.0,30320.0,china,2020-02-25
66,1439323776,0.0,0.0,32787.0,china,2020-02-26
67,1439323776,0.0,0.0,38916.0,china,2020-02-27
68,1439323776,0.0,39521.0,39311.0,china,2020-02-28
