,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region,ref,date
0,China,74186,"+1,750",2005.0,137.0,14451.0,12017.0,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
1,Diamond Princess,542,,,,17.0,20.0,,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
2,Singapore,81,,,,29.0,4.0,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
3,Japan,76,+2,1.0,,20.0,4.0,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
4,Hong Kong,62,,2.0,1.0,4.0,7.0,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
5,S. Korea,46,+15,,,16.0,,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
6,Thailand,35,,,,17.0,2.0,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
7,USA,29,,,,3.0,,N.America,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
8,Taiwan,22,,1.0,,2.0,,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
9,Malaysia,22,,,,11.0,,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
10,Vietnam,16,,,,7.0,,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
11,Germany,16,,,,9.0,,Europe,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
12,Australia,15,,,,10.0,,Oceania,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
13,France,12,,1.0,,7.0,,Europe,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
14,Macao,10,,,,5.0,,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
15,U.K.,9,,,,8.0,,Europe,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
16,U.A.E.,9,,,,3.0,1.0,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
17,Canada,8,,,,1.0,,N.America,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
18,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
19,Italy,3,,,,,2.0,Europe,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
20,India,3,,,,3.0,,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
21,Russia,2,,,,2.0,,Europe,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
22,Spain,2,,,,2.0,,Europe,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
23,Nepal,1,,,,1.0,,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
24,Belgium,1,,,,1.0,,Europe,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
25,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
26,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
27,Egypt,1,,,,,,Africa,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
28,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
29,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200218/https://www.worldometers.info/coronavirus/,2020-02-18
