,Country,Cases,Deaths,Region,ref,date
0,China,11791,259,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
1,Thailand,19,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
2,Japan,17,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
3,Singapore,16,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
4,Hong Kong,13,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
5,South Korea,11,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
6,Taiwan,10,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
7,Australia,9,0,Australia/Oceania,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
8,Malaysia,8,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
9,United States,7,0,North America,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
10,Germany,7,0,Europe,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
11,Macao,7,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
12,France,6,0,Europe,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
13,Vietnam,5,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
14,United Arab Emirates,4,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
15,Canada,4,0,North America,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
16,United Kingdom,2,0,Europe,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
17,Russia,2,0,Europe,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
18,Italy,2,0,Europe,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
19,India,1,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
20,Finland,1,0,Europe,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
21,Sweden,1,0,Europe,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
22,Sri Lanka,1,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
23,Cambodia,1,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
24,Philippines,1,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
25,Nepal,1,0,Asia,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
26,Spain,1,0,Europe,https://web.archive.org/web/20200131/https://www.worldometers.info/coronavirus/,2020-01-31
