Country,StringencyIndex,date,I
Italy,14.0,2020-02-10,0.0
Italy,14.0,2020-02-11,0.0
Italy,14.0,2020-02-12,0.0
Italy,14.0,2020-02-13,0.0
Italy,14.0,2020-02-14,0.0
Italy,14.0,2020-02-15,0.0
Italy,14.0,2020-02-16,0.0
Italy,14.0,2020-02-17,0.0
Italy,14.0,2020-02-18,0.0
Italy,14.0,2020-02-19,0.0
Italy,14.0,2020-02-20,0.0
Italy,24.0,2020-02-21,0.0
Italy,24.0,2020-02-22,0.0
Italy,33.0,2020-02-23,0.0
Italy,33.0,2020-02-24,0.0
Italy,33.0,2020-02-25,0.0
Italy,33.0,2020-02-26,0.0
Italy,33.0,2020-02-27,0.0
Italy,57.0,2020-02-28,822.0
Italy,57.0,2020-02-29,1049.0
Italy,62.0,2020-03-01,1570.0
Italy,62.0,2020-03-02,1835.0
Italy,62.0,2020-03-03,2263.0
Italy,67.0,2020-03-04,2706.0
Italy,67.0,2020-03-05,3296.0
Italy,67.0,2020-03-06,3916.0
Italy,67.0,2020-03-07,5061.0
Italy,67.0,2020-03-08,6387.0
Italy,71.0,2020-03-09,7985.0
Italy,71.0,2020-03-10,8514.0
Italy,81.0,2020-03-11,10590.0
Italy,90.0,2020-03-12,12839.0
Italy,90.0,2020-03-13,14955.0
Italy,90.0,2020-03-14,17750.0
Italy,90.0,2020-03-15,20603.0
Italy,90.0,2020-03-16,23073.0
Italy,90.0,2020-03-17,26062.0
Italy,90.0,2020-03-18,26062.0
Italy,90.0,2020-03-19,28710.0
Italy,,2020-03-20,33190.0
Italy,,2020-03-21,37860.0
Italy,,2020-03-22,42681.0
Italy,,2020-03-23,46638.0
Italy,,2020-03-24,50418.0
Italy,,2020-03-25,54030.0
Italy,,2020-03-26,57521.0
Italy,,2020-03-27,62013.0
Italy,,2020-03-28,66414.0
Italy,,2020-03-29,70065.0
Italy,,2020-03-30,73880.0
Italy,,2020-03-31,75528.0
Italy,,2020-04-01,77635.0
Italy,,2020-04-02,80572.0
Italy,,2020-04-03,83049.0
Italy,,2020-04-04,85388.0
Italy,,2020-04-05,88274.0
Italy,,2020-04-06,91246.0
Italy,,2020-04-07,93187.0
Italy,,2020-04-08,94067.0
Italy,,2020-04-09,95262.0
Belgium,14.0,2020-02-10,0.0
Belgium,14.0,2020-02-11,0.0
Belgium,14.0,2020-02-12,0.0
Belgium,14.0,2020-02-13,0.0
Belgium,14.0,2020-02-14,0.0
Belgium,14.0,2020-02-15,0.0
Belgium,14.0,2020-02-16,0.0
Belgium,14.0,2020-02-17,0.0
Belgium,14.0,2020-02-18,0.0
Belgium,14.0,2020-02-19,0.0
Belgium,14.0,2020-02-20,0.0
Belgium,14.0,2020-02-21,0.0
Belgium,14.0,2020-02-22,0.0
Belgium,14.0,2020-02-23,0.0
Belgium,14.0,2020-02-24,0.0
Belgium,14.0,2020-02-25,0.0
Belgium,14.0,2020-02-26,0.0
Belgium,14.0,2020-02-27,0.0
Belgium,14.0,2020-02-28,0.0
Belgium,14.0,2020-02-29,0.0
Belgium,14.0,2020-03-01,1.0
Belgium,14.0,2020-03-02,7.0
Belgium,14.0,2020-03-03,12.0
Belgium,19.0,2020-03-04,22.0
Belgium,19.0,2020-03-05,49.0
Belgium,19.0,2020-03-06,108.0
Belgium,19.0,2020-03-07,168.0
Belgium,19.0,2020-03-08,199.0
