date,Country,StringencyIndex,r_values,R,Total Detected,Total Infected,Total Exposed,corona_days,prediction_ind,Currently Infected,Critical_condition,Recovery_Critical,Mortality_Critical,Doubling Time,temp_cr,New Detected,New Infected,New Exposed,serious_critical,new_cases,activecases
2020-03-12,israel,38.1,0.17999997820000013,0.17999997820000013,109.0,288.9753566796368,8761.779507133593,1,0,105.0,2.0,,,54.25728957453974,,12.0,,,2.0,12.0,105.0
2020-03-13,israel,52.38,0.4919265624942515,0.4919265624942515,126.0,439.32382187635096,9505.0635538262,2,0,122.0,2.0,,,20.071223568559564,,17.0,150.3484651967142,743.2840466926064,2.0,17.0,122.0
2020-03-14,israel,52.38,1.5554186016728861,1.5554186016728861,193.0,1326.6683960224814,14146.104626026805,3,0,189.0,3.0,,,6.579363268804619,,50.0,887.3445741461304,4641.041072200605,3.0,50.0,189.0
2020-03-15,israel,66.67,1.7626724762467,1.7626724762467,213.0,603.2044963251188,15685.6878512754,4,0,209.0,2.0,,,5.845036524758276,,20.0,-723.4638996973625,1539.5832252485943,2.0,20.0,209.0
2020-03-16,israel,76.19,2.5607945288376763,2.5607945288376763,298.0,1753.9524427150884,13410.180717682664,5,0,294.0,4.0,,,4.12634773140148,,85.0,1150.7479463899695,-2275.507133592735,4.0,85.0,294.0
2020-03-17,israel,85.71,2.8225394876908814,2.8225394876908814,337.0,1071.782101167315,17725.62905317769,6,0,326.0,5.0,,,3.7740309472768563,,39.0,-682.1703415477734,4315.448335495026,5.0,39.0,326.0
2020-03-19,israel,90.48,3.392272417751021,3.392272417751021,433.0,2109.5149156939037,19837.471681798528,7,0,422.0,6.0,,,3.1946879686178877,,96.0,1037.7328145265888,2111.842628620838,6.0,96.0,422.0
2020-03-20,israel,95.24,4.339293217548663,4.339293217548663,677.0,4796.961521833116,21352.238651102463,8,0,663.0,6.0,,,2.5673201900421536,,244.0,2687.4466061392127,1514.7669693039352,6.0,244.0,663.0
2020-03-21,israel,95.24,4.110084503147,4.110084503147,705.0,1386.8862948551664,19017.288370082144,9,0,689.0,10.0,,,2.692758049802245,,28.0,-3410.07522697795,-2334.9502810203194,10.0,28.0,689.0
2020-03-22,israel,95.24,3.5515569994223166,3.5515569994223166,883.0,4018.253350626891,17219.17509727626,10,0,846.0,15.0,,,3.0658652971715434,,178.0,2631.3670557717246,-1798.1132728058838,15.0,178.0,846.0
2020-03-23,israel,95.24,3.770124186653915,3.770124186653915,1071.0,4428.522265456117,20480.97016861219,11,0,1033.0,18.0,,,2.906749134597621,,188.0,410.26891482922565,3261.7950713359314,18.0,188.0,1033.0
2020-03-24,israel,95.24,3.664812589064983,3.664812589064983,1442.0,7843.910073497622,19437.146562905316,12,0,1400.0,29.0,,,2.9810558415969783,,371.0,3415.387808041505,-1043.8236057068752,29.0,371.0,1400.0
2020-03-25,israel,100.0,4.079905353736855,4.079905353736855,1930.0,10361.923043666233,17820.98400345871,13,0,1874.0,34.0,,,2.7103187110486897,,488.0,2518.012970168611,-1616.1625594466059,34.0,488.0,1874.0
2020-03-26,israel,100.0,3.965094702197481,3.965094702197481,2369.0,10165.205361003025,15028.461738002592,14,0,2306.0,37.0,,,2.7795558187709033,,439.0,-196.7176826632076,-2792.5222654561185,37.0,439.0,2306.0
2020-03-27,israel,100.0,3.111607059584586,3.111607059584586,2693.0,8761.779507133593,22292.233463035016,15,0,2617.0,46.0,,,3.4536536573564085,,324.0,-1403.425853869432,7263.771725032424,46.0,324.0,2617.0
2020-03-28,israel,100.0,3.2972001015006676,3.2972001015006676,3035.0,9505.0635538262,20899.832252485947,16,0,2944.0,49.0,,,3.2774882064933304,,342.0,743.2840466926064,-1392.4012105490692,49.0,342.0,2944.0
2020-03-29,israel,100.0,3.2309148113297352,3.2309148113297352,3619.0,14146.104626026805,19670.67531344574,17,0,3518.0,50.0,2.0,3.0,3.3380904354101206,,584.0,4641.041072200605,-1229.1569390402074,50.0,584.0,3518.0
2020-03-30,israel,100.0,3.1651937773098187,3.1651937773098187,4247.0,15685.6878512754,21276.010376134887,18,0,4100.0,74.0,3.0,4.0,3.400674432080592,,628.0,1539.5832252485943,1605.335062689148,74.0,628.0,4100.0
2020-03-31,israel,100.0,2.7285101843933104,2.7285101843933104,4695.0,13410.180717682664,25327.037706786643,19,0,4518.0,79.0,4.0,6.0,3.89283583958684,,448.0,-2275.507133592735,4051.0273306517556,79.0,448.0,4518.0
2020-04-01,israel,100.0,2.35321885262081,2.35321885262081,5358.0,17725.62905317769,25857.835400807147,20,0,5114.0,94.0,4.0,6.0,4.461341896789769,,663.0,4315.448335495026,530.7976940205044,94.0,663.0,5114.0
2020-04-02,israel,100.0,2.2137659773687637,2.2137659773687637,6092.0,19837.471681798528,26052.11775498122,21,0,5825.0,95.0,6.0,9.0,4.721604787756676,,734.0,2111.842628620838,194.28235417407268,95.0,734.0,5825.0
2020-04-03,israel,100.0,2.285308081382101,2.285308081382101,6857.0,21352.238651102463,26096.42682115565,22,0,6483.0,107.0,7.0,10.0,4.58412402019745,,765.0,1514.7669693039352,44.30906617442815,107.0,765.0,6483.0
2020-04-04,israel,100.0,2.192425489971733,2.192425489971733,7428.0,19017.288370082144,26043.059827412362,23,0,6985.0,113.0,9.0,13.0,4.764348684168524,,571.0,-2334.9502810203194,-53.366993743286,113.0,571.0,6985.0
2020-04-05,israel,100.0,1.9195393481369902,1.9195393481369902,7851.0,17219.17509727626,26162.562016913493,24,0,7380.0,115.0,14.0,20.0,5.394564863360469,,423.0,-1798.1132728058838,119.50218950113049,115.0,423.0,7380.0
2020-04-06,israel,100.0,1.759622016423529,1.759622016423529,8430.0,20480.97016861219,26406.710204305382,25,0,7904.0,139.0,14.0,21.0,5.854591638492131,,579.0,3261.7950713359314,244.14818739188922,139.0,579.0,7904.0
2020-04-07,israel,100.0,1.7131985914890042,1.7131985914890042,8904.0,19437.146562905316,26450.612198049814,26,0,8262.0,140.0,18.0,26.0,6.004200795880996,,474.0,-1043.8236057068752,43.90199374443182,140.0,474.0,8262.0
