,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,ref,date
0,World,1116662,"+101,566",59174.0,"+5,997",228589.0,828899,39391.0,143.0,7.6,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
1,China,81639,+19,3326.0,+4,76755.0,1558,331.0,57.0,2.0,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
2,USA,277161,"+32,284",7404.0,"+1,328",12283.0,257474,5787.0,837.0,22.0,698344.0,2110.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
3,Italy,119827,"+4,585",14681.0,+766,19758.0,85388,4068.0,1982.0,243.0,429526.0,7104.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
4,Spain,119199,"+7,134",11198.0,+850,30513.0,77488,6416.0,2549.0,240.0,355000.0,7593.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
5,Germany,91159,"+6,365",1275.0,+168,24575.0,65309,3936.0,1088.0,15.0,483295.0,5768.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
6,France,82165,"+23,060",6507.0,"+1,120",14008.0,61650,6662.0,1259.0,100.0,101046.0,1548.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
7,Iran,53183,"+2,715",3294.0,+134,17935.0,31954,4035.0,633.0,39.0,80000.0,952.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
8,UK,38168,"+4,450",3605.0,+684,135.0,34428,163.0,562.0,53.0,173784.0,2560.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
9,Turkey,20921,"+2,786",425.0,+69,484.0,20012,1251.0,248.0,5.0,141716.0,1680.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
10,Switzerland,19606,+779,591.0,+55,4846.0,14169,348.0,2265.0,68.0,111000.0,12826.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
11,Belgium,16770,"+1,422",1143.0,+132,2872.0,12755,1205.0,1447.0,99.0,18360.0,1584.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
12,Netherlands,15723,"+1,026",1487.0,+148,250.0,13986,1324.0,918.0,87.0,46810.0,2732.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
13,Canada,12375,"+1,092",208.0,+35,2186.0,9981,120.0,328.0,6.0,261975.0,6941.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
14,Austria,11524,+395,168.0,+10,2022.0,9334,245.0,1280.0,19.0,98343.0,10919.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
