,Country,Total Cases,Feb 4 Cases,Total Deaths,Feb 4 Deaths,Total Recovered,Total Critical,Region,ref,date
0,China,23658,"+3,220",490.0,65.0,861.0,2788.0,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
1,Thailand,25,+6,,,7.0,1.0,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
2,Singapore,24,+6,,,1.0,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
3,Japan,23,+3,,,,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
4,Hong Kong,17,+2,1.0,1.0,,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
5,S. Korea,16,+1,,,,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
6,Australia,13,+1,,,3.0,,Oceania,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
7,Germany,12,,,,,,Europe,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
8,Taiwan,11,+1,,,,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
9,USA,11,,,,,,N.America,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
10,Malaysia,10,+2,,,,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
11,Macao,10,+2,,,,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
12,Vietnam,10,+2,,,3.0,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
13,France,6,,,,,1.0,Europe,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
14,U.A.E.,5,,,,,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
15,Canada,5,+1,,,,,N.America,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
16,India,3,,,,,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
17,Philippines,2,,1.0,,,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
18,Russia,2,,,,,,Europe,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
19,Italy,2,,,,,2.0,Europe,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
20,U.K.,2,,,,,,Europe,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
21,Finland,1,,,,,,Europe,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
22,Cambodia,1,,,,,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
23,Nepal,1,,,,,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
24,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
25,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
26,Belgium,1,+1,,,,,Europe,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
27,Spain,1,,,,,,Europe,https://web.archive.org/web/20200204/https://www.worldometers.info/coronavirus/,2020-02-04
