,"Country, Territory",Total Cases,Feb 5 Cases,Total Deaths,Feb 5 Deaths,Total Recovered,Total Critical,Region,ref,date
0,China,24399,75.0,491.0,1.0,1022.0,3219.0,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
1,Japan,35,2.0,,,,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
2,Singapore,28,4.0,,,1.0,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
3,Thailand,25,,,,8.0,1.0,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
4,Hong Kong,21,3.0,1.0,,,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
5,S. Korea,19,1.0,,,1.0,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
6,Australia,14,1.0,,,3.0,,Oceania,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
7,Malaysia,12,2.0,,,,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
8,Germany,12,,,,,,Europe,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
9,USA,11,,,,,,N.America,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
10,Taiwan,11,,,,,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
11,Macao,10,,,,,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
12,Vietnam,10,,,,3.0,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
13,France,6,,,,,1.0,Europe,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
14,Canada,5,,,,,,N.America,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
15,U.A.E.,5,,,,,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
16,Philippines,3,1.0,1.0,,,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
17,India,3,,,,,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
18,U.K.,2,,,,,,Europe,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
19,Italy,2,,,,,2.0,Europe,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
20,Russia,2,,,,,,Europe,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
21,Finland,1,,,,,,Europe,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
22,Nepal,1,,,,,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
23,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
24,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
25,Cambodia,1,,,,,,Asia,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
26,Spain,1,,,,,,Europe,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
27,Belgium,1,,,,,,Europe,https://web.archive.org/web/20200205/https://www.worldometers.info/coronavirus/,2020-02-05
