,"Country, Territory",Total Cases,Feb 6 Feb 7 Cases,Total Deaths,Feb 6 Feb 7 Deaths,Total Recovered,Total Critical,Region,ref,date
0,China,31210,"+3,192",636.0,73.0,1747.0,4821.0,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
1,Japan,86,+41,,,4.0,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
2,Singapore,33,+5,,,2.0,1.0,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
3,Hong Kong,25,+4,1.0,,,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
4,Thailand,25,,,,9.0,1.0,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
5,S. Korea,24,+1,,,2.0,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
6,Taiwan,16,+5,,,1.0,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
7,Malaysia,15,+3,,,1.0,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
8,Australia,15,+1,,,5.0,,Oceania,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
9,Germany,13,+1,,,,,Europe,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
10,Vietnam,12,+2,,,3.0,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
11,USA,12,,,,1.0,,N.America,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
12,Macao,10,,,,,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
13,Canada,7,+2,,,,,N.America,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
14,France,6,,,,,1.0,Europe,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
15,U.A.E.,5,,,,,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
16,Philippines,3,,1.0,,,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
17,India,3,,,,,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
18,U.K.,3,+1,,,,,Europe,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
19,Italy,3,+1,,,,2.0,Europe,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
20,Russia,2,,,,,,Europe,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
21,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
22,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
23,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
24,Nepal,1,,,,,,Asia,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
25,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
26,Spain,1,,,,,,Europe,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
27,Belgium,1,,,,,,Europe,https://web.archive.org/web/20200207/https://www.worldometers.info/coronavirus/,2020-02-07
