,"Country, Territory",Total Cases,"Feb 10,11 Cases",Total Deaths,"Feb 10,11 Deaths",Total Recovered,Total Severe,Region,ref,date
0,China,42670,"+2,499",1016.0,108.0,4318.0,7333.0,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
1,Japan,163,+67,,,4.0,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
2,Hong Kong,49,+13,1.0,,,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
3,Singapore,47,+4,,,9.0,7.0,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
4,Thailand,33,+1,,,10.0,1.0,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
5,S. Korea,28,+1,,,4.0,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
6,Taiwan,18,,,,1.0,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
7,Malaysia,18,+1,,,3.0,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
8,Germany,16,+2,,,,,Europe,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
9,Vietnam,15,+1,,,6.0,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
10,Australia,15,,,,5.0,,Oceania,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
11,USA,13,+1,,,3.0,,N.America,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
12,France,11,,,,,1.0,Europe,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
13,Macao,10,,,,1.0,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
14,U.A.E.,8,+1,,,1.0,1.0,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
15,U.K.,8,+4,,,1.0,,Europe,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
16,Canada,7,,,,1.0,,N.America,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
17,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
18,Italy,3,,,,,2.0,Europe,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
19,India,3,,,,,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
20,Russia,2,,,,,,Europe,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
21,Spain,2,,,,,,Europe,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
22,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
23,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
24,Nepal,1,,,,,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
25,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
26,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
27,Belgium,1,,,,,,Europe,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,2020-02-11
