,"Country, Territory",Total Cases,Feb 11 Cases,Total Deaths,Feb 11 Deaths,Total Recovered,Total Severe,Region,ref,date
0,China,44653,"+2,015",1113.0,97.0,4777.0,8204.0,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
1,Japan,203,+42,,,4.0,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
2,Hong Kong,49,+7,1.0,,,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
3,Singapore,47,+2,,,9.0,7.0,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
4,Thailand,33,+1,,,10.0,1.0,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
5,S. Korea,28,+1,,,4.0,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
6,Taiwan,18,,,,1.0,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
7,Malaysia,18,,,,3.0,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
8,Germany,16,+2,,,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
9,Vietnam,15,+1,,,6.0,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
10,Australia,15,,,,5.0,,Oceania,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
11,USA,13,+1,,,3.0,,N.America,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
12,France,11,,,,,1.0,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
13,Macao,10,,,,1.0,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
14,U.K.,8,,,,1.0,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
15,U.A.E.,8,,,,1.0,1.0,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
16,Canada,7,,,,1.0,,N.America,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
17,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
18,Italy,3,,,,,2.0,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
19,India,3,,,,,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
20,Russia,2,,,,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
21,Spain,2,,,,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
22,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
23,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
24,Nepal,1,,,,,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
25,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
26,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
27,Belgium,1,,,,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,2020-02-12
