,"Country, Territory",Total Cases,Change (cases),Total Deaths,Change (deaths),Total Recovered,"Serious, Critical",Region,ref,date
0,China,66291,"+2,440",1520.0,140.0,7977.0,10730.0,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
1,Japan,259,+8,1.0,,11.0,9.0,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
2,Singapore,67,+9,,,17.0,8.0,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
3,Hong Kong,56,+3,1.0,,1.0,7.0,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
4,Thailand,33,,,,13.0,1.0,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
5,S. Korea,28,,,,7.0,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
6,Malaysia,19,,,,7.0,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
7,Taiwan,18,,,,1.0,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
8,Germany,16,,,,1.0,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
9,Vietnam,16,,,,7.0,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
10,USA,15,,,,3.0,,N.America,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
11,Australia,15,,,,10.0,,Oceania,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
12,France,11,,,,3.0,1.0,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
13,Macao,10,,,,3.0,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
14,U.K.,9,,,,1.0,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
15,Canada,8,+1,,,1.0,,N.America,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
16,U.A.E.,8,,,,1.0,1.0,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
17,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
18,Italy,3,,,,,2.0,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
19,India,3,,,,1.0,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
20,Spain,2,,,,1.0,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
21,Russia,2,,,,2.0,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
22,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
23,Belgium,1,,,,,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
24,Egypt,1,+1,,,,,Africa,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
25,Nepal,1,,,,1.0,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
26,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
27,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
28,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200214/https://www.worldometers.info/coronavirus/,2020-02-14
