,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region,ref,date
0,China,76923,635.0,2441.0,96.0,22691.0,11477.0,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
1,Diamond Princess,634,,2.0,,17.0,27.0,,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
2,S. Korea,433,224.0,2.0,,18.0,9.0,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
3,Japan,134,25.0,1.0,,22.0,6.0,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
4,Singapore,89,3.0,,,49.0,5.0,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
5,Italy,79,58.0,2.0,1.0,2.0,18.0,Europe,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
6,Hong Kong,70,1.0,2.0,,11.0,6.0,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
7,Thailand,35,,,,20.0,2.0,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
8,USA,35,,,,6.0,,N.America,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
9,Iran,29,11.0,6.0,2.0,,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
10,Taiwan,26,,1.0,,2.0,1.0,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
11,Malaysia,22,,,,17.0,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
12,Australia,21,2.0,,,11.0,,Oceania,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
13,Germany,16,,,,14.0,,Europe,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
14,Vietnam,16,,,,15.0,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
15,U.A.E.,13,2.0,,,3.0,2.0,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
16,France,12,,1.0,,10.0,,Europe,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
17,Macao,10,,,,6.0,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
18,Canada,9,,,,3.0,,N.America,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
19,U.K.,9,,,,8.0,,Europe,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
20,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
21,India,3,,,,3.0,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
22,Russia,2,,,,2.0,,Europe,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
23,Spain,2,,,,2.0,,Europe,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
24,Belgium,1,,,,1.0,,Europe,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
25,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
26,Egypt,1,,,,1.0,,Africa,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
27,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
28,Israel,1,,,,,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
29,Lebanon,1,,,,,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
30,Nepal,1,,,,1.0,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
31,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
32,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
33,Iraq,1,1.0,,,,,Asia,https://web.archive.org/web/20200222/https://www.worldometers.info/coronavirus/,2020-02-22
