,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
0,China,79826,575.0,2870.0,35.0,35320,41636.0,7664.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
1,S. Korea,3150,813.0,17.0,1.0,3109,24.0,10.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
2,Italy,1128,239.0,29.0,8.0,1049,50.0,105.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
3,Diamond Princess,705,,6.0,,689,10.0,36.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
4,Iran,593,205.0,43.0,9.0,427,123.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
5,Japan,241,8.0,5.0,,204,32.0,20.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
6,Singapore,102,4.0,,,30,72.0,7.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
7,France,100,43.0,2.0,,86,12.0,8.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
8,Hong Kong,93,,2.0,,61,30.0,6.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
9,Germany,79,5.0,,,63,16.0,2.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
10,USA,68,5.0,1.0,1.0,60,7.0,1.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
11,Spain,58,25.0,,,56,2.0,2.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
12,Kuwait,45,,,,45,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
13,Thailand,42,1.0,,,14,28.0,2.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
14,Bahrain,41,3.0,,,41,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
15,Taiwan,39,5.0,1.0,,33,5.0,1.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
16,Australia,25,,,,10,15.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
17,Malaysia,25,,,,5,20.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
18,U.K.,23,3.0,,,15,8.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
19,U.A.E.,21,2.0,,,16,5.0,2.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
20,Switzerland,19,4.0,,,19,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
21,Canada,16,1.0,,,12,4.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
22,Vietnam,16,,,,0,16.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
23,Norway,15,9.0,,,15,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
24,Iraq,13,5.0,,,13,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
25,Sweden,12,1.0,,,12,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
26,Austria,10,3.0,,,10,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
27,Macao,10,,,,4,6.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
28,Israel,7,,,,6,1.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
29,Lebanon,7,3.0,,,7,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
30,Netherlands,7,5.0,,,7,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
31,Croatia,6,1.0,,,6,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
32,Oman,6,,,,5,1.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
33,Greece,4,,,,4,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
34,Pakistan,4,2.0,,,4,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
35,Philippines,3,,1.0,,0,2.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
36,Denmark,3,1.0,,,3,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
37,Finland,3,,,,2,1.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
38,Georgia,3,1.0,,,3,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
39,India,3,,,,0,3.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
40,Mexico,3,1.0,,,3,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
41,Romania,3,,,,2,1.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
42,Brazil,2,1.0,,,2,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
43,Russia,2,,,,0,2.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
44,Afghanistan,1,,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
45,Algeria,1,,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
46,Azerbaijan,1,,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
47,Belarus,1,,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
48,Belgium,1,,,,0,1.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
49,Cambodia,1,,,,0,1.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
50,Ecuador,1,1.0,,,1,,1.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
51,Egypt,1,,,,0,1.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
52,Estonia,1,,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
53,Iceland,1,,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
54,Ireland,1,1.0,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
55,Lithuania,1,,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
56,Luxembourg,1,1.0,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
57,North Macedonia,1,,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
58,Monaco,1,,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
59,Nepal,1,,,,0,1.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
60,New Zealand,1,,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
61,Nigeria,1,,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
62,Qatar,1,1.0,,,1,,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
63,San Marino,1,,,,1,,1.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
64,Sri Lanka,1,,,,0,1.0,,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
65,Total:,86602,1978.0,2977.0,54.0,41488,42137.0,7868.0,https://web.archive.org/web/20200229/https://www.worldometers.info/coronavirus/,2020-02-29
