,Country,Cases,Deaths,Region,ref,date
0,China,9692,213,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
1,Thailand,14,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
2,Hong Kong,12,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
3,Taiwan,9,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
4,Macau,7,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
5,Malaysia,8,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
6,Singapore,13,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
7,Japan,14,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
8,Australia,9,0,Oceania,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
9,United States,6,0,America,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
10,South Korea,6,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
11,France,6,0,Europe,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
12,Germany,5,0,Europe,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
13,Canada,3,0,America,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
14,Vietnam,5,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
15,Cambodia,1,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
16,Nepal,1,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
17,United Arab Emirates,4,0,Middle East,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
18,Finland,1,0,Europe,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
19,Philippines,1,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
20,India,1,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
21,Italy,2,0,Europe,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
22,Sri Lanka,1,0,Asia,https://web.archive.org/web/20200130/https://www.worldometers.info/coronavirus/,2020-01-30
