,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
0,China,80152,1.0,2945.0,2.0,29785,47422.0,6806.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
1,S. Korea,5186,851.0,34.0,6.0,5118,34.0,27.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
2,Italy,2502,466.0,79.0,27.0,2263,160.0,229.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
3,Iran,2336,835.0,77.0,11.0,1824,435.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
4,Diamond Princess,706,,6.0,,600,100.0,36.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
5,Japan,293,19.0,6.0,,244,43.0,23.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
6,France,212,21.0,4.0,1.0,196,12.0,8.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
7,Germany,196,31.0,,,180,16.0,2.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
8,Spain,165,45.0,1.0,1.0,162,2.0,3.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
9,USA,118,18.0,9.0,3.0,100,9.0,7.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
10,Singapore,110,2.0,,,32,78.0,7.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
11,Hong Kong,101,1.0,2.0,,62,37.0,6.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
12,Switzerland,58,28.0,,,56,2.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
13,Kuwait,56,,,,56,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
14,U.K.,51,12.0,,,43,8.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
15,Bahrain,49,,,,49,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
16,Thailand,43,,1.0,,12,30.0,1.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
17,Taiwan,42,1.0,1.0,,29,12.0,1.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
18,Australia,39,6.0,1.0,,23,15.0,1.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
19,Malaysia,36,7.0,,,14,22.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
20,Norway,33,8.0,,,33,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
21,Iraq,32,5.0,,,32,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
22,Canada,30,3.0,,,23,7.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
23,Sweden,30,15.0,,,29,1.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
24,U.A.E.,27,6.0,,,22,5.0,2.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
25,Austria,24,6.0,,,24,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
26,Netherlands,23,5.0,,,23,,1.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
27,Vietnam,16,,,,0,16.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
28,Belgium,13,5.0,,,12,1.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
29,Lebanon,13,,,,13,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
30,Israel,12,,,,11,1.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
