,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
0,China,81171,+78,3277.0,7.0,73159.0,4735,1573.0,56.0,2.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
1,Italy,63927,"+4,789",6077.0,601.0,7432.0,50418,3204.0,1057.0,101.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
2,USA,43734,"+10,168",553.0,140.0,295.0,42886,1040.0,132.0,2.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
3,Spain,35136,"+6,368",2311.0,539.0,3355.0,29470,2355.0,751.0,49.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
4,Germany,29056,"+4,183",123.0,29.0,453.0,28480,23.0,347.0,1.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
5,Iran,23049,"+1,411",1812.0,127.0,8376.0,12861,,274.0,22.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
6,France,19856,"+3,838",860.0,186.0,2200.0,16796,2082.0,304.0,13.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
7,S. Korea,8961,+64,111.0,7.0,3166.0,5684,59.0,175.0,2.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
8,Switzerland,8795,"+1,321",120.0,22.0,131.0,8544,141.0,1016.0,14.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
9,UK,6650,+967,335.0,54.0,135.0,6180,20.0,98.0,5.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
10,Netherlands,4749,+545,213.0,34.0,2.0,4534,435.0,277.0,12.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
11,Austria,4474,+892,21.0,5.0,9.0,4444,14.0,497.0,2.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
12,Belgium,3743,+342,88.0,13.0,401.0,3254,322.0,323.0,8.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
13,Norway,2625,+240,10.0,3.0,6.0,2609,41.0,484.0,2.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
14,Canada,2091,+621,24.0,4.0,320.0,1747,1.0,55.0,0.6,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
15,Portugal,2060,+460,23.0,9.0,14.0,2023,47.0,202.0,2.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
16,Sweden,2046,+112,27.0,6.0,16.0,2003,104.0,203.0,3.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
17,Brazil,1924,+378,34.0,9.0,2.0,1888,18.0,9.0,0.2,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
18,Australia,1887,+278,7.0,,118.0,1762,11.0,74.0,0.3,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
19,Turkey,1529,+293,37.0,7.0,,1492,,18.0,0.4,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
20,Malaysia,1518,+212,14.0,4.0,159.0,1345,57.0,47.0,0.4,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
21,Denmark,1460,+65,24.0,11.0,1.0,1435,55.0,252.0,4.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
22,Israel,1442,+371,1.0,,41.0,1400,29.0,167.0,0.1,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
23,Czechia,1236,+116,1.0,,7.0,1228,19.0,115.0,0.09,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
24,Japan,1128,+27,42.0,1.0,235.0,851,49.0,9.0,0.3,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
25,Ireland,1125,+219,6.0,2.0,5.0,1114,29.0,228.0,1.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
26,Ecuador,981,+192,18.0,4.0,3.0,960,2.0,56.0,1.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
27,Luxembourg,875,+77,8.0,,6.0,861,3.0,1398.0,13.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
28,Pakistan,875,+99,6.0,1.0,13.0,856,,4.0,0.03,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
29,Poland,749,+115,8.0,1.0,13.0,728,3.0,20.0,0.2,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
30,Chile,746,+114,2.0,1.0,11.0,733,7.0,39.0,0.1,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
31,Thailand,721,+122,1.0,,52.0,668,7.0,10.0,0.01,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
32,Diamond Princess,712,,8.0,,567.0,137,15.0,,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
33,Finland,700,+74,1.0,,10.0,689,13.0,126.0,0.2,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
34,Greece,695,+71,17.0,2.0,29.0,649,35.0,67.0,2.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
35,Iceland,588,+20,1.0,,51.0,536,14.0,1723.0,3.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
36,Indonesia,579,+65,49.0,1.0,30.0,500,,2.0,0.2,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
37,Romania,576,+143,7.0,4.0,73.0,496,15.0,30.0,0.4,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
38,Saudi Arabia,562,+51,,,19.0,543,,16.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
