,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,ref,date
0,China,81554,,3312.0,,76238.0,2004,466.0,57.0,2.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
1,USA,215003,"+26,473",5102.0,"+1,049",8878.0,201023,5005.0,650.0,15.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
2,Italy,110574,"+4,782",13155.0,+727,16847.0,80572,4035.0,1829.0,218.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
3,Spain,104118,"+8,195",9387.0,+923,22647.0,72084,5872.0,2227.0,201.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
4,Germany,77981,"+6,173",931.0,+156,18700.0,58350,3408.0,931.0,11.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
5,France,56989,"+4,861",4032.0,+509,10935.0,42022,6017.0,873.0,62.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
6,Iran,47593,"+2,988",3036.0,+138,15473.0,29084,3871.0,567.0,36.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
7,UK,29474,"+4,324",2352.0,+563,135.0,26987,163.0,434.0,35.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
8,Switzerland,17768,"+1,163",488.0,+55,2967.0,14313,348.0,2053.0,56.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
9,Turkey,15679,"+2,148",277.0,+63,333.0,15069,847.0,186.0,3.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
10,Belgium,13964,"+1,189",828.0,+123,2132.0,11004,1088.0,1205.0,71.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
11,Netherlands,13614,"+1,019",1173.0,+134,250.0,12191,1053.0,795.0,68.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
12,Austria,10711,+531,146.0,+18,1436.0,9129,215.0,1189.0,16.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
13,S. Korea,9887,+101,165.0,+3,5567.0,4155,55.0,193.0,3.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
14,Canada,9731,"+1,119",114.0,+13,1736.0,7881,120.0,258.0,3.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
15,Portugal,8251,+808,187.0,+27,43.0,8021,230.0,809.0,18.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
16,Brazil,6880,"+1,163",242.0,+41,127.0,6511,296.0,32.0,1.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
17,Israel,6092,+734,26.0,+6,241.0,5825,95.0,704.0,3.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
18,Australia,5048,+285,23.0,+3,345.0,4680,50.0,198.0,0.9,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
19,Sweden,4947,+512,239.0,+59,103.0,4605,393.0,490.0,24.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
20,Norway,4877,+236,44.0,+5,13.0,4820,105.0,900.0,8.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
21,Czechia,3589,+281,39.0,+8,61.0,3489,70.0,335.0,4.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
22,Ireland,3447,+212,85.0,+14,5.0,3357,103.0,698.0,17.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
23,Denmark,3107,+247,104.0,+14,894.0,2109,145.0,536.0,18.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
24,Chile,3031,+293,16.0,+4,234.0,2781,31.0,159.0,0.8,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
25,Malaysia,2908,+142,45.0,+2,645.0,2218,102.0,90.0,1.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
26,Russia,2777,+440,24.0,+7,190.0,2563,8.0,19.0,0.2,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
27,Ecuador,2758,+456,98.0,+19,58.0,2602,100.0,156.0,6.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
28,Poland,2554,+243,43.0,+10,56.0,2455,50.0,67.0,1.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
29,Romania,2460,+215,92.0,+10,252.0,2116,57.0,128.0,5.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
30,Japan,2384,+206,57.0,,472.0,1855,69.0,19.0,0.5,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
31,Luxembourg,2319,+141,29.0,+6,80.0,2210,31.0,3705.0,46.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
32,Philippines,2311,+227,96.0,+8,50.0,2165,1.0,21.0,0.9,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
33,Pakistan,2118,+180,27.0,+1,94.0,1997,12.0,10.0,0.1,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
34,India,1998,+601,58.0,+23,148.0,1792,,1.0,0.04,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
35,Thailand,1771,+120,12.0,+2,505.0,1254,23.0,25.0,0.2,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
36,Saudi Arabia,1720,+157,16.0,+6,264.0,1440,31.0,49.0,0.5,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
37,Indonesia,1677,+149,157.0,+21,103.0,1417,,6.0,0.6,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
38,Finland,1446,+28,17.0,,10.0,1419,62.0,261.0,3.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
39,Greece,1415,+101,51.0,+2,52.0,1312,90.0,136.0,5.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
40,South Africa,1380,+27,5.0,,50.0,1325,7.0,23.0,0.08,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
41,Peru,1323,+258,38.0,+8,394.0,891,49.0,40.0,1.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
42,Panama,1317,+136,32.0,+2,9.0,1276,50.0,305.0,7.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
43,Dominican Republic,1284,+175,57.0,+6,9.0,1218,,118.0,5.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
44,Iceland,1220,+85,2.0,,236.0,982,12.0,3575.0,6.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
45,Mexico,1215,+121,29.0,+1,35.0,1151,1.0,9.0,0.2,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
46,Argentina,1133,+79,32.0,+5,248.0,853,,25.0,0.7,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
47,Colombia,1065,+159,17.0,+1,39.0,1009,47.0,21.0,0.3,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
48,Serbia,1060,+160,28.0,+5,42.0,990,62.0,121.0,3.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
49,Singapore,1000,+74,3.0,,245.0,752,24.0,171.0,0.5,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
50,Croatia,963,+96,6.0,,73.0,884,34.0,235.0,1.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
51,Algeria,847,+131,58.0,+14,61.0,728,,19.0,1.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
52,Slovenia,841,+39,15.0,,10.0,816,31.0,405.0,7.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
53,Qatar,835,+54,2.0,,71.0,762,37.0,290.0,0.7,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
54,UAE,814,+150,8.0,+2,61.0,745,2.0,82.0,0.8,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
55,Ukraine,794,+149,20.0,+3,13.0,761,,18.0,0.5,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
56,Egypt,779,+69,52.0,+6,179.0,548,,8.0,0.5,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
57,Estonia,779,+34,5.0,+1,33.0,741,15.0,587.0,4.0,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
58,Hong Kong,766,+51,4.0,,147.0,615,5.0,102.0,0.5,https://web.archive.org/web/20200402/https://www.worldometers.info/coronavirus/,2020-04-02
