,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,ref,date
0,World,1201483,"+84,821",64690.0,"+5,799",246467.0,890326,42288.0,154.0,8.3,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
1,China,81669,+30,3329.0,+3,76964.0,1376,295.0,57.0,2.0,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
2,USA,311357,"+34,196",8451.0,"+1,330",14825.0,288081,8206.0,941.0,26.0,1632955.0,4933.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
3,Spain,126168,"+6,969",11947.0,+749,34219.0,80002,6532.0,2699.0,256.0,355000.0,7593.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
4,Italy,124632,"+4,805",15362.0,+681,20996.0,88274,3994.0,2061.0,254.0,657224.0,10870.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
5,Germany,96092,"+4,933",1444.0,+169,26400.0,68248,3936.0,1147.0,17.0,918460.0,10962.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
6,France,89953,"+7,788",7560.0,"+1,053",15438.0,66955,6838.0,1378.0,116.0,224254.0,3436.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
7,Iran,55743,"+2,560",3452.0,+158,19736.0,32555,4103.0,664.0,41.0,186000.0,2214.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
8,UK,41903,"+3,735",4313.0,+708,135.0,37455,163.0,617.0,64.0,183190.0,2698.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
9,Turkey,23934,"+3,013",501.0,+76,786.0,22647,1311.0,284.0,6.0,161380.0,1913.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
10,Switzerland,20505,+899,666.0,+75,6415.0,13424,391.0,2369.0,77.0,153440.0,17729.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
11,Belgium,18431,"+1,661",1283.0,+140,3247.0,13901,1245.0,1590.0,111.0,70000.0,6040.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
12,Netherlands,16627,+904,1651.0,+164,250.0,14726,1360.0,970.0,96.0,75415.0,4401.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
13,Canada,13912,"+1,537",231.0,+23,2595.0,11086,120.0,369.0,6.0,317972.0,8425.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
14,Austria,11781,+257,186.0,+18,2507.0,9088,245.0,1308.0,21.0,104134.0,11562.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
15,Portugal,10524,+638,266.0,+20,75.0,10183,251.0,1032.0,26.0,81087.0,7952.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
16,Brazil,10360,"+1,166",445.0,+82,127.0,9788,296.0,49.0,2.0,54824.0,258.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
17,S. Korea,10156,+94,177.0,+3,6325.0,3654,55.0,198.0,3.0,455032.0,8875.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
18,Israel,7851,+423,44.0,+4,427.0,7380,115.0,907.0,5.0,90394.0,10443.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
19,Sweden,6443,+312,373.0,+15,205.0,5865,379.0,638.0,37.0,36900.0,3654.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
20,Norway,5550,+180,62.0,+3,32.0,5456,98.0,1024.0,11.0,105865.0,19528.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
21,Australia,5550,+96,30.0,+2,585.0,4935,85.0,218.0,1.0,286786.0,11247.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
22,Russia,4731,+582,43.0,+9,333.0,4355,8.0,32.0,0.3,639606.0,4383.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
23,Ireland,4604,+331,137.0,+17,25.0,4442,148.0,932.0,28.0,30213.0,6119.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
24,Czechia,4472,+282,59.0,+6,78.0,4335,87.0,418.0,6.0,74170.0,6926.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
25,Chile,4161,+424,27.0,+5,528.0,3606,38.0,218.0,1.0,48613.0,2543.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
26,Denmark,4077,+320,161.0,+22,1283.0,2633,142.0,704.0,28.0,45270.0,7816.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
27,Poland,3627,+244,79.0,+8,116.0,3432,50.0,96.0,2.0,72901.0,1926.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
28,Romania,3613,+430,146.0,+13,329.0,3138,119.0,188.0,8.0,36092.0,1876.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
29,India,3588,+529,99.0,+13,229.0,3260,,3.0,0.07,116608.0,84.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
30,Malaysia,3483,+150,57.0,+4,915.0,2511,99.0,108.0,2.0,49570.0,1532.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
31,Ecuador,3465,+97,172.0,+27,100.0,3193,100.0,196.0,10.0,11309.0,641.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
32,Japan,3139,+204,77.0,+8,514.0,2548,64.0,25.0,0.6,42882.0,339.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
33,Philippines,3094,+76,144.0,+8,57.0,2893,1.0,28.0,1.0,5530.0,50.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
34,Pakistan,2818,+132,41.0,+1,131.0,2646,13.0,13.0,0.2,30308.0,137.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
35,Luxembourg,2729,+117,31.0,,500.0,2198,35.0,4360.0,50.0,22793.0,36412.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
36,Saudi Arabia,2179,+140,29.0,+4,420.0,1730,41.0,63.0,0.8,,,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
37,Indonesia,2092,+106,191.0,+10,150.0,1751,,8.0,0.7,7896.0,29.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
38,Thailand,2067,+89,20.0,+1,674.0,1373,23.0,30.0,0.3,23669.0,339.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
39,Finland,1882,+267,25.0,+5,300.0,1557,72.0,340.0,5.0,29000.0,5234.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
40,Panama,1801,+128,46.0,+5,13.0,1742,50.0,417.0,11.0,7333.0,1700.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
41,Peru,1746,+151,73.0,+12,914.0,759,88.0,53.0,2.0,17841.0,541.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
42,Mexico,1688,+178,60.0,+10,633.0,995,1.0,13.0,0.5,15668.0,122.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
43,Greece,1673,+60,68.0,+5,78.0,1527,92.0,161.0,7.0,22437.0,2153.0,https://web.archive.org/web/20200405/https://www.worldometers.info/coronavirus/,2020-04-05
