,"Country, Territory",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region,ref,date
0,China,70542,"+2,042",1765.0,100.0,10728.0,11272.0,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
1,Japan,414,+76,1.0,,17.0,9.0,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
2,Singapore,75,+3,,,19.0,5.0,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
3,Hong Kong,57,+1,1.0,,2.0,7.0,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
4,Thailand,34,,,,14.0,2.0,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
5,S. Korea,29,+1,,,9.0,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
6,Malaysia,22,,,,8.0,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
7,Taiwan,20,+2,1.0,1.0,2.0,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
8,Germany,16,,,,3.0,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
9,Vietnam,16,,,,7.0,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
10,Australia,15,,,,10.0,,Oceania,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
11,USA,15,,,,3.0,,N.America,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
12,France,12,,1.0,,4.0,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
13,Macao,10,,,,5.0,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
14,U.A.E.,9,+1,,,3.0,1.0,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
15,U.K.,9,,,,8.0,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
16,Canada,8,,,,1.0,,N.America,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
17,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
18,Italy,3,,,,,2.0,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
19,India,3,,,,3.0,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
20,Russia,2,,,,2.0,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
21,Spain,2,,,,2.0,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
22,Egypt,1,,,,,,Africa,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
23,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
24,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
25,Nepal,1,,,,1.0,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
26,Belgium,1,,,,1.0,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
27,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
28,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200216/https://www.worldometers.info/coronavirus/,2020-02-16
