,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region,ref,date
0,China,78073,9.0,2715.0,,30072.0,8745.0,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
1,S. Korea,1261,284.0,12.0,1.0,24.0,18.0,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
2,Diamond Princess,705,14.0,4.0,,10.0,36.0,,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
3,Italy,470,147.0,12.0,1.0,3.0,35.0,Europe,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
4,Japan,172,11.0,3.0,2.0,23.0,13.0,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
5,Iran,139,44.0,19.0,3.0,25.0,,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
6,Singapore,93,2.0,,,62.0,7.0,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
7,Hong Kong,89,4.0,2.0,,18.0,6.0,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
8,USA,60,3.0,,,6.0,,N.America,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
9,Thailand,40,3.0,,,22.0,2.0,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
10,Bahrain,33,10.0,,,,,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
11,Taiwan,32,1.0,1.0,,5.0,1.0,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
12,Germany,27,9.0,,,15.0,2.0,Europe,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
13,Kuwait,26,15.0,,,,,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
14,Australia,23,1.0,,,15.0,,Oceania,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
15,Malaysia,22,,,,20.0,,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
16,France,18,4.0,2.0,1.0,11.0,1.0,Europe,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
17,Vietnam,16,,,,16.0,,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
18,Spain,13,4.0,,,2.0,,Europe,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
19,U.K.,13,,,,8.0,,Europe,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
20,U.A.E.,13,,,,3.0,2.0,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
21,Canada,12,1.0,,,3.0,,N.America,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
22,Macao,10,,,,6.0,,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
23,Iraq,5,,,,,,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
24,Oman,4,,,,,,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
25,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
26,Croatia,3,2.0,,,,,Europe,https://web.archive.org/web/20200226/https://www.worldometers.info/coronavirus/,2020-02-26
