,Country,Cases,Deaths,Region,ref,date
0,China,6070,133,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
1,Thailand,14,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
2,Hong Kong,11,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
3,Taiwan,8,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
4,Macau,7,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
5,Malaysia,7,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
6,Singapore,10,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
7,Japan,7,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
8,Australia,7,0,Oceania,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
9,United States,5,0,America,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
10,South Korea,4,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
11,France,4,0,Europe,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
12,Germany,4,0,Europe,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
13,Canada,3,0,America,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
14,Vietnam,2,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
15,Cambodia,1,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
16,Nepal,1,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
17,United Arab Emirates,4,0,Middle East,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
18,Finland,1,0,Europe,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
19,Sri Lanka,1,0,Asia,https://web.archive.org/web/20200129/https://www.worldometers.info/coronavirus/,2020-01-29
