,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
0,China,80894,+13,3237.0,11.0,69614.0,8043,2622.0,56.0
1,Italy,31506,"+3,526",2503.0,345.0,2941.0,26062,2060.0,521.0
2,Iran,16169,"+1,178",988.0,135.0,5389.0,9792,,193.0
3,Spain,11826,"+1,884",533.0,191.0,1028.0,10265,563.0,253.0
4,Germany,9367,"+2,095",26.0,9.0,67.0,9274,2.0,112.0
5,S. Korea,8320,+84,81.0,6.0,1401.0,6838,59.0,162.0
6,France,7730,"+1,097",175.0,27.0,602.0,6953,699.0,118.0
7,USA,6411,"+1,748",109.0,23.0,106.0,6196,12.0,19.0
8,Switzerland,2742,+389,27.0,8.0,15.0,2700,,317.0
9,UK,1950,+407,71.0,16.0,65.0,1814,20.0,29.0
10,Netherlands,1705,+292,43.0,19.0,2.0,1660,45.0,100.0
11,Norway,1471,+123,3.0,,1.0,1467,27.0,271.0
12,Austria,1332,+314,4.0,1.0,9.0,1319,12.0,148.0
13,Belgium,1243,+185,10.0,,14.0,1219,33.0,107.0
14,Sweden,1196,+75,8.0,1.0,1.0,1187,12.0,118.0
15,Denmark,977,+63,4.0,,1.0,972,18.0,169.0
16,Japan,878,+45,29.0,1.0,144.0,705,41.0,7.0
17,Diamond Princess,712,,7.0,,456.0,249,14.0,
18,Malaysia,673,+107,2.0,2.0,49.0,622,10.0,21.0
19,Canada,598,+157,8.0,4.0,12.0,578,1.0,16.0
20,Australia,455,+54,5.0,,27.0,423,1.0,18.0
21,Portugal,448,+117,1.0,,3.0,444,18.0,44.0
22,Qatar,442,+3,,,4.0,438,,153.0
23,Czechia,434,+90,,,3.0,431,2.0,41.0
24,Greece,387,+35,5.0,1.0,14.0,368,11.0,37.0
25,Brazil,346,+112,1.0,1.0,2.0,343,18.0,2.0
26,Israel,337,+39,,,11.0,326,5.0,39.0
27,Finland,322,+44,,,10.0,312,2.0,58.0
28,Ireland,292,+69,2.0,,5.0,285,6.0,59.0
