,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
0,China,80430,21.0,3013.0,1.0,25147,52270.0,5952.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
1,S. Korea,6088,467.0,40.0,5.0,5913,135.0,52.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
2,Italy,3858,769.0,148.0,41.0,3296,414.0,351.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
3,Iran,3513,591.0,108.0,16.0,2666,739.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
4,Diamond Princess,696,,6.0,,478,212.0,35.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
5,Germany,545,283.0,,,528,17.0,2.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
6,France,423,138.0,7.0,3.0,404,12.0,23.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
7,Japan,364,33.0,6.0,,315,43.0,29.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
8,Spain,282,54.0,3.0,1.0,276,3.0,7.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
9,USA,221,63.0,12.0,1.0,200,9.0,8.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
10,Switzerland,119,26.0,1.0,1.0,115,3.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
11,Singapore,117,5.0,,,36,81.0,7.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
12,UK,116,29.0,1.0,1.0,97,18.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
13,Hong Kong,105,2.0,2.0,,66,37.0,6.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
14,Sweden,94,42.0,,,93,1.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
15,Norway,91,32.0,,,91,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
16,Netherlands,82,44.0,,,82,,1.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
17,Australia,60,7.0,2.0,,36,22.0,1.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
18,Kuwait,58,2.0,,,58,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
19,Bahrain,55,3.0,,,51,4.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
20,Malaysia,55,5.0,,,33,22.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
21,Belgium,50,27.0,,,49,1.0,1.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
22,Thailand,47,4.0,1.0,,15,31.0,1.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
23,Taiwan,44,2.0,1.0,,31,12.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
24,Austria,43,14.0,,,41,2.0,1.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
25,Canada,37,3.0,,,29,8.0,1.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
26,Iraq,36,1.0,3.0,1.0,33,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
27,Iceland,35,9.0,,,35,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
28,Greece,31,22.0,,,31,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
29,India,30,1.0,,,27,3.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
30,UAE,28,,,,23,5.0,2.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
31,San Marino,21,5.0,1.0,,20,,3.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
32,Denmark,20,5.0,,,19,1.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
33,Algeria,17,,,,17,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
34,Israel,17,2.0,,,15,2.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
35,Lebanon,16,1.0,,,16,,1.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
36,Oman,16,1.0,,,14,2.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
37,Vietnam,16,,,,0,16.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
38,Ecuador,13,3.0,,,13,,1.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
39,Ireland,13,7.0,,,13,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
40,Czechia,12,4.0,,,12,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
41,Finland,12,5.0,,,11,1.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
42,Macao,10,,,,1,9.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
43,Croatia,10,,,,10,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
44,Georgia,9,6.0,,,9,,1.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
45,Portugal,9,3.0,,,9,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
46,Brazil,8,5.0,,,8,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
47,Qatar,8,,,,8,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
48,Palestine,7,7.0,,,7,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
49,Azerbaijan,6,3.0,,,6,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
50,Belarus,6,,,,6,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
51,Mexico,6,,,,5,1.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
52,Romania,6,,,,5,1.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
53,Slovenia,6,5.0,,,6,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
54,Estonia,5,3.0,,,5,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
55,Pakistan,5,,,,5,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
56,Saudi Arabia,5,3.0,,,4,1.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
57,New Zealand,4,1.0,,,4,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
58,Russia,4,1.0,,,2,2.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
59,Senegal,4,,,,4,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
60,Chile,4,1.0,,,4,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
61,Hungary,4,2.0,,,4,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
62,Philippines,3,,1.0,,0,2.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
63,Egypt,3,1.0,,,2,1.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
64,Indonesia,2,,,,2,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
65,Luxembourg,2,1.0,,,2,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
66,Morocco,2,1.0,,,2,,1.0,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
67,Argentina,2,1.0,,,2,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
68,Bosnia and Herzegovina,2,2.0,,,2,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
69,Afghanistan,1,,,,1,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
70,Andorra,1,,,,1,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
71,Armenia,1,,,,1,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
72,Cambodia,1,,,,0,1.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
73,Dominican Republic,1,,,,1,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
74,Jordan,1,,,,1,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
75,Latvia,1,,,,0,1.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
76,Lithuania,1,,,,1,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
77,North Macedonia,1,,,,1,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
78,Monaco,1,,,,1,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
79,Nepal,1,,,,0,1.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
80,Nigeria,1,,,,1,,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
81,Sri Lanka,1,,,,0,1.0,,https://web.archive.org/web/20200305/https://www.worldometers.info/coronavirus/,2020-03-05
