,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,80824,,3189.0,,65578.0,12057,3610.0,56.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
1,Italy,21157,"+3,497",1441.0,175.0,1966.0,17750,1518.0,349.9,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
2,Iran,12729,"+1,365",611.0,97.0,4339.0,7779,,151.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
3,S. Korea,8086,+107,72.0,5.0,714.0,7300,59.0,157.7,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
4,Spain,6391,"+1,159",195.0,62.0,517.0,5679,293.0,136.7,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
5,Germany,4599,+924,9.0,1.0,46.0,4544,9.0,54.9,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
6,France,4469,+808,91.0,12.0,12.0,4366,154.0,68.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
7,USA,2836,+589,57.0,8.0,49.0,2730,10.0,8.6,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
8,Switzerland,1375,+236,13.0,2.0,4.0,1358,,158.9,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
9,UK,1140,+342,21.0,10.0,18.0,1101,20.0,16.8,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
10,Norway,1108,+112,3.0,2.0,1.0,1104,27.0,204.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
11,Sweden,961,+147,2.0,1.0,1.0,958,2.0,95.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
12,Netherlands,959,+155,12.0,2.0,2.0,945,45.0,56.0,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
13,Denmark,827,+23,1.0,1.0,1.0,825,2.0,142.8,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
14,Japan,804,+70,22.0,1.0,144.0,638,35.0,6.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
15,Diamond Princess,696,,7.0,,456.0,233,15.0,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
16,Belgium,689,+130,4.0,1.0,1.0,684,24.0,59.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
17,Austria,655,+151,1.0,,6.0,648,1.0,72.7,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
18,Qatar,337,+17,,,4.0,333,,117.0,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
19,Australia,248,+49,3.0,,27.0,218,1.0,9.7,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
20,Canada,247,+49,1.0,,11.0,235,1.0,6.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
21,Malaysia,238,+41,,,35.0,203,4.0,7.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
22,Greece,228,+38,3.0,2.0,8.0,217,5.0,21.9,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
23,Finland,225,+70,,,10.0,215,,40.6,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
24,Bahrain,212,+2,,,60.0,152,2.0,124.6,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
25,Singapore,212,+12,,,105.0,107,11.0,36.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
26,Israel,193,+50,,,4.0,189,3.0,22.3,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
