,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
0,China,81340,+55,3292.0,5.0,74588.0,3460,1034.0,57.0,2.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
1,USA,85435,"+17,224",1295.0,268.0,1868.0,82272,2122.0,258.0,4.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
2,Italy,80589,"+6,203",8215.0,712.0,10361.0,62013,3612.0,1333.0,136.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
3,Spain,57786,"+8,271",4365.0,718.0,7015.0,46406,3166.0,1236.0,93.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
4,Germany,43938,"+6,615",267.0,61.0,5673.0,37998,23.0,524.0,3.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
5,Iran,29406,"+2,389",2234.0,157.0,10457.0,16715,2746.0,350.0,27.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
6,France,29155,"+3,922",1696.0,365.0,4948.0,22511,3375.0,447.0,26.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
7,Switzerland,11811,+914,192.0,39.0,131.0,11488,141.0,1365.0,22.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
8,UK,11658,"+2,129",578.0,115.0,135.0,10945,163.0,172.0,9.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
9,S. Korea,9241,+104,131.0,5.0,4144.0,4966,59.0,180.0,3.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
10,Netherlands,7431,"+1,019",434.0,78.0,3.0,6994,761.0,434.0,25.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
11,Austria,6909,"+1,321",49.0,18.0,112.0,6748,96.0,767.0,5.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
12,Belgium,6235,"+1,298",220.0,42.0,675.0,5340,605.0,538.0,19.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
13,Canada,4043,+634,39.0,3.0,228.0,3776,120.0,107.0,1.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
14,Turkey,3629,"+1,196",75.0,16.0,26.0,3528,136.0,43.0,0.9,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
15,Portugal,3544,+549,60.0,17.0,43.0,3441,61.0,348.0,6.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
16,Norway,3372,+288,14.0,,6.0,3352,70.0,622.0,3.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
17,Australia,3050,+374,13.0,2.0,170.0,2867,23.0,120.0,0.5,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
