,S,E,I,R,country,date,CountryCode,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,Unnamed: 34
0,145934462,0.0,0.0,0.0,russia,2020-02-10,RUS,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,0.0,,6.0,,0.0,,0.0,,2.0,0.0,14.0,	
1,145934462,0.0,0.0,0.0,russia,2020-02-11,RUS,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,0.0,,6.0,,0.0,,0.0,,2.0,0.0,14.0,	
2,145934462,0.0,0.0,0.0,russia,2020-02-12,RUS,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,0.0,,6.0,,0.0,,0.0,,2.0,0.0,14.0,	
3,145934462,0.0,0.0,2.0,russia,2020-02-13,RUS,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,0.0,,6.0,,0.0,,0.0,,2.0,0.0,14.0,	
4,145934462,0.0,0.0,2.0,russia,2020-02-14,RUS,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,0.0,,6.0,,0.0,,0.0,,2.0,0.0,14.0,	
5,145934462,0.0,0.0,2.0,russia,2020-02-15,RUS,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,0.0,,6.0,,0.0,,0.0,,2.0,0.0,14.0,	
6,145934462,0.0,0.0,2.0,russia,2020-02-16,RUS,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,0.0,,6.0,,0.0,,0.0,,2.0,0.0,14.0,	
7,145934462,0.0,0.0,2.0,russia,2020-02-17,RUS,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,0.0,,6.0,,0.0,,0.0,,2.0,0.0,14.0,	
8,145934462,0.0,0.0,2.0,russia,2020-02-18,RUS,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,https://www.kommersant.ru/doc/4285154?from=doc_vrez. Temporary travel ban from China,0.0,,6.0,,0.0,,0.0,,2.0,0.0,14.0,	
9,145934462,0.0,0.0,2.0,russia,2020-02-19,RUS,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,3.0,,0.0,,6.0,,0.0,,0.0,,2.0,0.0,14.0,	
