,I,country,date,R,A,E
18,2222.877317223909,india,2020-04-03,2.821923282852455,12273.396549185709,291997.77125715744
19,2889.7405123910817,india,2020-04-04,2.821923282852455,19731.723461108508,291997.77125715744
20,3975.027673153343,india,2020-04-05,2.821923282852455,18646.43630034625,344835.71616475435
21,4772.648357568981,india,2020-04-06,2.821923282852455,21942.242980169987,344835.71616475435
22,5949.465760805168,india,2020-04-07,2.821923282852455,20765.4255769338,447955.58090285363
23,6354.813977475411,india,2020-04-08,2.821923282852455,28348.913354051612,
24,7871.600852757607,india,2020-04-09,2.821923282852455,26832.126478769416,
25,8656.1457882484,india,2020-04-10,2.821923282852455,32734.043547742807,
26,10382.144646328139,india,2020-04-11,2.821923282852455,31008.044689663067,
27,11493.583304940094,india,2020-04-12,2.821923282852455,29896.606031051113,
28,11544.267400288441,india,2020-04-13,2.821923282852455,52010.027921653265,
29,14329.231510717482,india,2020-04-14,2.821923282852455,49225.06381122422,
30,15924.472879548757,india,2020-04-15,2.821923282852455,129369.69422623466,
31,23098.331233427474,india,2020-04-16,2.821923282852455,122195.83587235594,
32,28692.891988239313,india,2020-04-17,2.821923282852455,158424.9561529634,
33,37300.75958471111,india,2020-04-18,2.821923282852455,254697.01167244633,
34,51309.64214367501,india,2020-04-19,2.821923282852455,240688.12911348243,
35,61605.32691592558,india,2020-04-20,2.821923282852455,283230.38924882875,
36,76795.68149793464,india,2020-04-21,2.821923282852455,268040.03466681973,
37,82027.91474284886,india,2020-04-22,2.821923282852455,365927.6661600048,
38,101606.59398188273,india,2020-04-23,2.821923282852455,,
